brand,slot,source,root_file,slot_file,width,height,source_sha256_12
赤大师（1）,top1,赤大师（1）\微信图片_20260413144419_4854_127.png,chidashi_family_breakfast_01_440c29f96e62.png,top1_chidashi_family_breakfast_01_440c29f96e62.png,619,544,440c29f96e62
赤大师（1）,top1,赤大师（1）\微信图片_20260413144627_4856_127.png,chidashi_senior_breakfast_02_651399c3a2a1.png,top1_chidashi_senior_breakfast_02_651399c3a2a1.png,747,591,651399c3a2a1
赤大师（1）,top1,赤大师（1）\微信图片_20260413144846_4859_127.png,chidashi_young_reader_03_0997306242d8.png,top1_chidashi_young_reader_03_0997306242d8.png,744,585,0997306242d8
赤大师（1）,top1,赤大师（1）\微信图片_20260509112951_13580_3.png,chidashi_yurt_lifestyle_04_7fec983d3ca9.png,top1_chidashi_yurt_lifestyle_04_7fec983d3ca9.png,805,535,7fec983d3ca9
赤大师（1）,top1,赤大师（1）\微信图片_20260509113119_13586_3.png,chidashi_vintage_still_life_05_da137356e247.png,top1_chidashi_vintage_still_life_05_da137356e247.png,779,514,da137356e247
赤大师（1）,top1,赤大师（1）\微信图片_20260516113905_13672_3.png,chidashi_double_can_breakfast_06_32e645927420.png,top1_chidashi_double_can_breakfast_06_32e645927420.png,760,540,32e645927420
赤大师（1）,top1_detail,赤大师（1）\微信图片_20260416144554_4958_127.png,chidashi_powder_camel_scene_07_74022bf56093.png,top1_detail_chidashi_powder_camel_scene_07_74022bf56093.png,894,646,74022bf56093
赤大师（1）,top1_detail,赤大师（1）\微信图片_20260512145548_13615_3.png,chidashi_camel_pasture_panorama_08_01677d878635.png,top1_detail_chidashi_camel_pasture_panorama_08_01677d878635.png,934,496,01677d878635
赤大师（1）,top1_detail,赤大师（1）\微信图片_20260516113608_13665_3.png,chidashi_packshot_dolls_09_efb453925720.png,top1_detail_chidashi_packshot_dolls_09_efb453925720.png,735,545,efb453925720
赤大师（1）,top1_detail,赤大师（1）\微信图片_20260516113846_13671_3.png,chidashi_clean_double_packshot_10_f81cba695c11.png,top1_detail_chidashi_clean_double_packshot_10_f81cba695c11.png,759,513,f81cba695c11
赤大师（1）,top1_detail,赤大师（1）\微信图片_20260526111119_13888_3.png,chidashi_pasture_source_11_7f39f707299b.png,top1_detail_chidashi_pasture_source_11_7f39f707299b.png,844,584,7f39f707299b
